name,description,search_query,answer,query,response_time,follow_up_questions,result1_title,result1_url,result1_content,result1_rawcontent,result1_score,result2_title,result2_url,result2_content,result2_rawcontent,result2_score,result3_title,result3_url,result3_content,result3_rawcontent,result3_score,result4_title,result4_url,result4_content,result4_rawcontent,result4_score,result5_title,result5_url,result5_content,result5_rawcontent,result5_score
Clearing the Collar Tie,Techniques for effectively removing an opponent's collar tie a common control position.,How to effectively remove a collar tie in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defend the Front Headlock Standing Position,Defensive strategies and techniques for countering a front headlock while standing.,How to defend against a front headlock in a standing position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Single Leg on the Mat,Techniques and strategies for defending against single leg takedowns when on the mat.,What are the best defensive techniques against single leg takedowns on the mat in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending High Crotch On Feet,Defensive maneuvers for countering high crotch takedowns while both wrestlers are standing.,How to defend against high crotch takedowns while standing in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending High Crotch on Mat Series,A series of defensive techniques against high crotch takedowns executed on the mat.,What are effective defensive techniques against high crotch takedowns on the mat in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handfighting Defense Series,Drills focusing on handfighting to defend against various attacks and control techniques.,What drills are best for handfighting defense in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending the Cement Job or Cowboy Series,Specific defensive strategies against the cement job or cowboy wrestling moves.,How to defend against the cement job or cowboy moves in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense High Crotch with Crotch Lift,Defensive technique using a crotch lift to counter a high crotch takedown.,How to use a crotch lift to counter a high crotch takedown in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chest Lock,A defensive move that involves locking around an opponent's chest to prevent or counter attacks.,What is the technique for a chest lock in wrestling to prevent or counter attacks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defend High Crotch with Waist Roll,A counter move to a high crotch attack involving a waist roll for reversal or escape.,How to counter a high crotch attack with a waist roll for reversal or escape in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Foot Hook Defense,Defensive technique against foot hooks particularly common in Russian wrestling styles.,How to defend against foot hooks in Russian wrestling styles?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakdowns,Techniques used to break down an opponent's stance and balance for control and setup for further moves.,What techniques are used to break down an opponent's stance and balance in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returning Opponent From Stand-Up,Methods for controlling and bringing down an opponent who is attempting to stand up.,How to control and bring down an opponent attempting to stand up in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrist & Short Arm Bar,Techniques involving control of the wrist and leveraging a short arm bar for submissions or control.,What techniques involve controlling the wrist and leveraging a short arm bar in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Arm Bar Series,A series of moves centered around the use of a short arm bar for control and submissions.,What are the key moves in a short arm bar series for wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half Series,Techniques and strategies based on the half nelson a common control and pinning move.,What are effective techniques and strategies based on the half nelson in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 on 1 Tilt Set-Up Series,A set of moves focusing on tilting an opponent using a 2-on-1 arm control.,How to tilt an opponent using a 2-on-1 arm control in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Wrestling Series,A series of moves and counters that focus on leg-based attacks and defenses.,What are the best moves and counters for leg-based wrestling attacks and defenses?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Wrist Series,Techniques involving control of the opponent's wrist for offensive and defensive maneuvers.,How to control an opponent's wrist for offensive and defensive maneuvers in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riding Position,Techniques and strategies for maintaining control while in the top position focusing on effective riding.,What are effective riding techniques and strategies in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilts,A set of techniques aimed at tilting the opponent's body for gaining control and potentially scoring points.,What techniques are effective for tilting an opponent's body in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Riding,Moves and strategies for controlling an opponent using leg-based techniques.,How to control an opponent with leg-based techniques in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Referees Position,Drills and techniques for starting in the referee's position a common start position in wrestling.,What are the key drills and techniques for starting in the referee's position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Push Back Sit-Out Series,Techniques focusing on the sit-out move from a bottom position to escape or reverse control.,How to perform sit-out moves from a bottom position for escape or control reversal in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hips Away Sit Out Series,A series of moves where the wrestler sits out while keeping the hips away for defensive purposes.,What are the techniques for a sit-out with hips away for defense in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit & Switch Series,Techniques involving sitting out and switching positions to gain an advantage or escape.,How to sit out and switch positions effectively in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peterson Roll Series,A set of moves based on the Peterson roll used for reversals and escapes from the bottom.,How to perform Peterson roll for reversals and escapes in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand Up Series,Techniques for standing up from a bottom position to escape or reverse control.,What are the best techniques for standing up from a bottom position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing Switch Series,Moves involving a switch in position while standing to gain an advantage over the opponent.,How to switch positions while standing to gain an advantage in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Legs Series,Defensive techniques focusing on countering leg attacks and maintaining position.,What are effective defensive techniques for countering leg attacks in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Tight Waist Series,Strategies for defending against an opponent's tight waist control.,How to defend against tight waist control in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granby Roll Series,A series of techniques based on the Granby roll used for reversals and escapes.,How to perform Granby roll techniques for reversals and escapes in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fighting Off Back Series,Techniques and strategies for defending when on one's back to prevent being pinned.,What are effective techniques for defending when pinned on the back in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Defense Series,Defensive moves focusing on countering and defending against leg attacks.,How to defend against leg attacks in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Fighting to Escape,Using handfighting skills to create openings for escapes or reversals from the bottom.,How to use handfighting to escape or reverse from the bottom in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearing Crab Ride,Techniques for escaping or countering the crab ride a control position from the top.,What techniques help escape or counter a crab ride control position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Legs to Cradle,Defensive strategies for preventing an opponent from transitioning from leg control to a cradle.,How to defend against transitioning from leg control to a cradle in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leg Lace,A technique involving lacing the legs to control and potentially turn the opponent on the mat.,How to perform leg lace for control and turning the opponent in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid Level Gutwrench,A gutwrench technique executed from a mid-level position used for control and turns.,How to execute a mid-level gutwrench for control and turns in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap Arm Gutwrench,A variation of the gutwrench where the opponent's arm is trapped increasing control.,What is the technique for a trap arm gutwrench in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotch Lift,A lifting technique targeting the crotch area used for control defense or initiating a throw.,How to perform a crotch lift in wrestling for control defense or throws?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Wrestling / Motion,Drills that involve practicing movements and techniques without a partner focusing on form.,What are effective solo drills for practicing wrestling movements and techniques?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proper Penetration Drills,Drills designed to improve the effectiveness and technique of penetration steps in takedowns.,How to improve penetration steps in wrestling takedowns through drills?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Front Headlock Drills,Practices for defending against front headlocks focusing on positioning and escape techniques.,What drills help defend against front headlocks in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Drils Stance,Drills that focus on maintaining proper stance and position for both offensive and defensive scenarios.,What are the best drills for maintaining proper stance and position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Step Drills,Exercises for improving the back step technique crucial in throws and certain takedown defenses.,How to improve the back step technique in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Arch Drills,Practices to develop a strong back arch useful in throws and bridging during pin situations.,What drills help develop a strong back arch for wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shot Build Up Drills,Drills aimed at building the skills necessary for effective shooting techniques in takedowns.,What drills are essential for building effective shooting techniques in wrestling takedowns?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position & Balance Drills,Exercises focusing on maintaining proper stance and equilibrium during a match.,What exercises help maintain stance and balance during a wrestling match?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riding Drills,Practices aimed at controlling an opponent on the mat preventing them from escaping.,What are effective drills for controlling an opponent on the mat in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting Legs in Drills,Techniques to efficiently use the legs for control and leverage over an opponent.,How to efficiently use legs for control and leverage in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Move Drills,Drills that enhance the speed and efficiency of the initial move at the start of a bout.,What drills enhance the speed and efficiency of initial moves in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand-Up Drills,Exercises focusing on standing up effectively from a bottom position to escape or reverse.,How to effectively stand up from a bottom position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hip Heist Drills,Training to improve hip movement crucial for escaping or reversing an opponent.,What training improves hip movement for escapes and reversals in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding Your Base Drills,Practices to maintain a strong stable base preventing being turned or controlled by the opponent.,How to maintain a strong stable base in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Building Drills,Exercises aimed at developing a strong foundational position to launch attacks or defend.,What exercises help build a strong foundational position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granby Drills,Techniques revolving around the Granby roll used for escaping or reversing the opponent.,How to perform Granby roll techniques for escaping or reversing in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Tight Waist Drill,Practices to defend against tight waist holds focusing on escaping or reversing the grip.,How to defend against tight waist holds in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Legs Drill,Drills to counter an opponent's leg attacks focusing on escaping and gaining control.,What drills counter leg attacks and help gain control in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beating the Tripod Drill,Techniques to overcome an opponent's tripod position typically in a defensive scenario.,How to overcome a tripod position in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front Headlock to Cradle Drill,Transitioning from a front headlock to a cradle position for better control and potential pinning.,How to transition from a front headlock to a cradle in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countering High Crotch Drill,Defensive maneuvers against high crotch takedowns focusing on preventing opponent's control.,How to counter high crotch takedowns in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Hook Finish Drill,Drills to effectively finish moves when an underhook is secured focusing on control and takedown.,What are effective drills for finishing moves with an underhook in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Leg,A takedown move where the wrestler targets and controls one of the opponent's legs.,How to perform a single leg takedown in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Leg,A powerful takedown involving grabbing and controlling both of the opponent's legs.,What are the techniques for a double leg takedown in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Crotch,A takedown move targeting the area around the opponent's thigh for control and leverage.,How to execute a high crotch takedown in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireman's Carry,A technique where one wrestler lifts and flips the opponent over their shoulder.,What are the steps for performing a fireman's carry in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle Pick,A move focusing on grabbing the opponent's ankle to unbalance and take them down.,How to execute an ankle pick in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headlock,A control technique involving wrapping the arm around the opponent's head.,How to effectively apply a headlock in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armbar,A joint lock placed on the opponent's arm focusing on hyperextending the elbow.,What are the key techniques for executing an armbar in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimura,A shoulder lock that applies pressure on the opponent's shoulder joint.,How to perform a Kimura shoulder lock in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillotine,A chokehold applied from in front of the opponent targeting the neck.,What are the steps to apply a Guillotine choke in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rear Naked Choke,A chokehold applied from behind the opponent without the use of the gi or clothing.,How to execute a Rear Naked Choke in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triangle Choke,A choke applied using the legs around the opponent's neck while one arm is trapped.,What is the technique for applying a Triangle Choke in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Triangle,A chokehold involving the wrestler's arms and shoulder to compress the opponent's neck.,How to effectively apply an Arm Triangle choke in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulldog Choke,A headlock choke applied from the side or behind the opponent.,What are the key techniques for a Bulldog Choke in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suplex,A move where the wrestler lifts the opponent and throws them backward onto the mat.,How to perform a Suplex in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerbomb,Lifting the opponent up onto the shoulders and then slamming them down back-first.,What are the steps for executing a Powerbomb in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Suplex,A rear throw that involves lifting the opponent by their waist and arching back.,How to execute a German Suplex in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Arce Choke,A chokehold similar to an arm triangle but applied with different arm positioning.,What is the technique for applying a D'Arce Choke in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omoplata,A shoulder lock applied using the legs by trapping the opponent's arm.,How to apply an Omoplata shoulder lock in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kneebar,A leg lock that attacks the opponent's knee similar to an armbar.,How to perform a Kneebar in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heel Hook,A submission hold targeting the opponent's leg specifically the ankle and heel.,What are the techniques for applying a Heel Hook in wrestling?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
